Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Product Type,Mounting Style,Package / Case,Vr - Reverse Voltage,Vf - Forward Voltage,If - Forward Current
755-RB048RSM10STFTL1,RB048RSM10STFTL1,ROHM Semiconductor,https://www.rohm.com/datasheet?p=RB048RSM10STF&dist=Mouser&media=referral&source=mouser.com&campaign=Mouser,7.478  In Stock,"=""$ 7.339""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/ROHM-Semiconductor/RB048RSM10STFTL1?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BS5OR5VfODzCdrmB1QKpDNWg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RB048RSM10STFTL1&utm_content=ROHM-Semiconductor,Schottky Diodes & Rectifiers,SMD/SMT,TO-277A-3,100 V,750 mV,"=""8 A"""
755-RSX078BM2STL,RSX078BM2STL,ROHM Semiconductor,https://www.rohm.com/datasheet?p=RSX078BM2S&dist=Mouser&media=referral&source=mouser.com&campaign=Mouser,4.976  In Stock,"=""$ 6.183""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/ROHM-Semiconductor/RSX078BM2STL?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSKxlvuvnNPATxbMS38EfqXA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RSX078BM2STL&utm_content=ROHM-Semiconductor,Schottky Diodes & Rectifiers,SMD/SMT,TO-252-3,200 V,840 mV,"=""5 A"""
78-SE100PWTJ-M3/I,SE100PWTJ-M3/I,Vishay Semiconductors,https://www.vishay.com/doc?98361,4.500  In Stock,"=""$ 4.574""",RoHS Compliant By Exemption,New Product,https://co.mouser.com/ProductDetail/Vishay-Semiconductors/SE100PWTJ-M3-I?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BS9gDfvktdRpsdzdye4B%252BFRA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SE100PWTJ-M3%2FI&utm_content=Vishay-Semiconductors,Rectifiers,SMD/SMT,DPAK 2L,600 V,1.14 V,"=""10 A"""
511-STPST8H100SF,STPST8H100SF,STMicroelectronics,https://co.mouser.com/datasheet/2/389/stpst8h100-3106917.pdf,5.996  In Stock,"=""$ 4.122""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/STMicroelectronics/STPST8H100SF?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSZli7bnuNtXhzmHMz2CsKfg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STPST8H100SF&utm_content=STMicroelectronics,Schottky Diodes & Rectifiers,SMD/SMT,TO-277A-3,,625 mV,"=""8 A"""
78-SE100PWTGHM3/I,SE100PWTGHM3/I,Vishay Semiconductors,https://www.vishay.com/doc?98361,4.500  In Stock,"=""$ 5.077""",RoHS Compliant By Exemption,New Product,https://co.mouser.com/ProductDetail/Vishay-Semiconductors/SE100PWTGHM3-I?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSQHIfAWplIJM1v4%2FGXzgjAg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SE100PWTGHM3%2FI&utm_content=Vishay-Semiconductors,Rectifiers,SMD/SMT,DPAK 2L,400 V,1.14 V,"=""10 A"""
78-SE100PWTG-M3/I,SE100PWTG-M3/I,Vishay Semiconductors,https://www.vishay.com/doc?98361,4.480  In Stock,"=""$ 4.574""",RoHS Compliant By Exemption,New Product,https://co.mouser.com/ProductDetail/Vishay-Semiconductors/SE100PWTG-M3-I?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BS5LoKKNLW2MEtFRK9dlLfag%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SE100PWTG-M3%2FI&utm_content=Vishay-Semiconductors,Rectifiers,SMD/SMT,DPAK 2L,400 V,1.14 V,"=""10 A"""
78-VS-E5TX3006S2L-M3,VS-E5TX3006S2L-M3,Vishay Semiconductors,https://www.vishay.com/doc?97029,1.522  In Stock,"=""$ 11.561""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/Vishay-Semiconductors/VS-E5TX3006S2L-M3?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSN13670Qith4vQHQDkxIRkw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=VS-E5TX3006S2L-M3&utm_content=Vishay-Semiconductors,Rectifiers,SMD/SMT,D2PAK 2L,600 V,1.3 V,"=""30 A"""
78-VS-E5TH1512S2L-M3,VS-E5TH1512S2L-M3,Vishay Semiconductors,https://www.vishay.com/doc?97021,1.519  In Stock,"=""$ 11.259""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/Vishay-Semiconductors/VS-E5TH1512S2L-M3?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSMWSFBVWDREjoUpsqtXFrAA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=VS-E5TH1512S2L-M3&utm_content=Vishay-Semiconductors,Rectifiers,SMD/SMT,D2PAK 2L,1.2 kV,1.7 V,"=""15 A"""
78-VS-E5TX1512S2L-M3,VS-E5TX1512S2L-M3,Vishay Semiconductors,https://www.vishay.com/doc?97026,1.539  In Stock,"=""$ 11.259""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/Vishay-Semiconductors/VS-E5TX1512S2L-M3?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSZlqxAwyIjCiJ3bE3M0hB3w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=VS-E5TX1512S2L-M3&utm_content=Vishay-Semiconductors,Rectifiers,SMD/SMT,D2PAK 2L,1.2 kV,2.1 V,"=""15 A"""
771-PMEG050V150EPEQZ,PMEG050V150EPE-QZ,Nexperia,https://co.mouser.com/datasheet/2/916/PMEG050V150EPE_Q-3006171.pdf,4.898  In Stock,"=""$ 4.876""",RoHS Compliant By Exemption,New Product,https://co.mouser.com/ProductDetail/Nexperia/PMEG050V150EPE-QZ?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BS%252BOhK9lA0Mi7I380WGkOB1Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PMEG050V150EPE-QZ&utm_content=Nexperia,Schottky Diodes & Rectifiers,SMD/SMT,SOT-1289B-3,50 V,650 mV,"=""21 A"""
